********************************************************************************
Field Output Report, written Tue May 12 11:38:49 2026

Source 1
---------

   ODB: C:/Temp/ABAQUS/Enrico_test_flow/Flow_in_pipe.odb
   Step: Heat_transfer_step
   Frame: Increment      1: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PIPE-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label        HFL.HFL1        HFL.HFL2        HFL.HFL3
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
             202     999.958E-03     185.671E-03     44.4950E-03
             203     998.578E-03     292.038E-03    -93.1867E-03
             204         1.00030     244.577E-03     16.8113E-03
             205         1.00010     230.541E-03    -26.6872E-03
             206     999.102E-03     295.965E-03     89.3535E-03
             207         1.00040     297.871E-03    -61.0562E-03
             208     999.928E-03     293.645E-03     87.4605E-03
             209     999.006E-03     292.558E-03     47.4881E-03
             210     998.849E-03     287.260E-03     79.6162E-03
             211     999.348E-03     286.579E-03    -32.5402E-03
             212     999.951E-03     277.475E-03     20.0188E-03
             213     999.953E-03     267.731E-03    -6.16701E-03
             214     999.579E-03     167.592E-03    -48.9759E-03
             215     998.978E-03     298.102E-03    -82.1262E-03
             216     999.361E-03     299.160E-03     71.8878E-03
             217     999.565E-03     214.521E-03     35.4986E-03
             218         1.00130     196.509E-03    -66.4642E-03
             219     997.035E-03     64.3685E-03     32.8608E-03
             220     998.110E-03     83.9090E-03     50.9788E-03
             221     988.051E-03     201.615E-03     89.8877E-03
             222     997.626E-03     63.0122E-03     9.81385E-03
             223     999.901E-03     133.734E-03     60.3797E-03
             224     993.951E-03     184.206E-03     37.8697E-03
             225     998.771E-03     117.279E-03     58.5214E-03
             226         1.00021     153.719E-03     45.8003E-03
             227     999.806E-03     106.926E-03     23.9593E-03
             228     999.500E-03     277.961E-03     57.1896E-03
             229         1.00046     275.446E-03    -55.0259E-03
             230     999.034E-03     276.893E-03     35.9324E-03
             231         1.00001     103.528E-03     12.6836E-03
             232     999.777E-03     140.177E-03     42.6235E-03
             233     999.472E-03     270.381E-03     74.9907E-03
             234     999.828E-03     122.773E-03     38.4584E-03
             235     999.245E-03     321.378E-03     52.1837E-03
             236     999.767E-03     172.133E-03     34.4064E-03
             237     999.160E-03     323.576E-03     34.3856E-03
             238     999.633E-03     323.189E-03    -44.4603E-03
             239     999.838E-03     168.448E-03     46.1731E-03
             240     998.713E-03     275.737E-03     11.1949E-03
             241     999.955E-03     102.378E-03     1.80774E-03
             242         1.00003     179.800E-03     37.2753E-03
             243     999.821E-03     158.735E-03     31.3568E-03
             244         1.00065     322.882E-03     16.5036E-03
             245     999.665E-03     312.469E-03    -31.8435E-03
             246         1.00139     327.393E-03    -54.8434E-03
             247     999.811E-03     134.234E-03     6.26816E-03
             248         1.00017     106.023E-03    -8.92832E-03
             249     998.564E-03     283.060E-03    -15.4455E-03
             250     999.470E-03     350.469E-03     30.1540E-03
             251     999.973E-03     197.123E-03     34.4210E-03
             252     999.575E-03     328.889E-03     59.4686E-03
             253         1.00180     303.209E-03    -82.0693E-03
             254     999.394E-03     272.650E-03     6.73217E-03
             255     999.415E-03     140.546E-03    -39.4154E-03
             256     999.493E-03     122.250E-03    -30.0773E-03
             257         1.00051     307.060E-03    -80.1759E-03
             258     999.561E-03     249.906E-03    -14.1933E-03
             259     999.660E-03     225.205E-03    -29.3615E-03
             260     999.911E-03     240.922E-03     21.4027E-03
             261     999.842E-03     304.103E-03     54.0836E-03
             262         1.00006     307.597E-03     81.3868E-03
             263         1.00024     302.317E-03    -40.2926E-03
             264     999.850E-03     208.283E-03     36.3356E-03
             265     999.787E-03     163.878E-03    -43.8996E-03
             266         1.00041     306.898E-03    -65.7353E-03
             267     999.622E-03     291.266E-03     30.7562E-03
             268     999.787E-03     262.149E-03     3.96410E-03
             269         1.00020     281.891E-03    -17.3427E-03
             270         1.00010     308.986E-03     72.6027E-03
             271     999.777E-03     190.508E-03    -41.5199E-03
             272     999.855E-03     123.902E-03     29.3443E-03
             273         1.00023     202.771E-03     27.2313E-03
             274         1.00050     327.238E-03    -64.8184E-03
             275     999.835E-03     292.536E-03     16.1829E-03
             276         1.00008     215.656E-03     30.4032E-03
             277     999.746E-03     171.833E-03    -33.8783E-03
             278         1.00020     323.980E-03    -58.9705E-03
             279     999.772E-03     252.767E-03    -15.4092E-03
             280         1.00023     266.643E-03     6.74063E-03
             281     999.738E-03     272.999E-03    -1.43899E-03
             282     999.793E-03     318.133E-03    -45.7971E-03
             283     999.789E-03     323.760E-03     48.2021E-03
             284         1.00053     326.545E-03     61.8006E-03
             285     999.902E-03     218.457E-03    -29.6421E-03
             286         1.00013     298.892E-03    -21.2097E-03
             287     999.966E-03     330.786E-03     61.9014E-03
             288     999.936E-03     141.187E-03    -19.9553E-03
             289         1.00060     193.136E-03    -34.7964E-03
             290         1.00038     280.047E-03    -6.35313E-03
             291     999.594E-03     153.612E-03    -28.6031E-03
             292         1.00012     308.717E-03     34.3149E-03
             293     999.976E-03     234.782E-03     24.0111E-03
             294     999.960E-03     149.207E-03     19.9591E-03
             295     999.192E-03     318.287E-03     403.109E-06
             296         1.00025     189.914E-03     24.9003E-03
             297     999.920E-03     347.146E-03    -25.2790E-03
             298         1.00005     134.923E-03    -2.72871E-03
             299     999.935E-03     350.193E-03    -35.0889E-03
             300         1.00006     350.557E-03     17.1009E-03
             301     999.044E-03     329.877E-03    -60.8054E-03
             302         1.00008     223.293E-03     24.3185E-03
             303     999.893E-03     161.398E-03     1.00438E-03
             304     999.846E-03     138.314E-03    -10.8603E-03
             305         1.00016     132.704E-03     14.3797E-03
             306         1.00001     348.949E-03     43.8166E-03
             307     999.754E-03     364.375E-03     16.6684E-03
             308     999.895E-03     173.360E-03     22.2954E-03
             309     999.109E-03     335.965E-03    -12.7044E-03
             310     999.649E-03     349.956E-03    -42.7257E-03
             311     999.768E-03     363.587E-03    -20.7327E-03
             312     999.713E-03     346.414E-03    -45.8032E-03
             313         1.00016     237.602E-03     21.1239E-03
             314     999.545E-03     344.907E-03     45.1542E-03
             315     999.455E-03     350.173E-03     39.3234E-03
             316         1.00001     218.977E-03     18.5465E-03
             317         1.00005     114.801E-03    -17.1632E-03
             318     999.741E-03     294.632E-03    -6.89193E-03
             319         1.00015     294.684E-03     7.07053E-03
             320         1.00002     177.615E-03    -17.5151E-03
             321         1.00005     224.492E-03    -23.4003E-03
             322     999.833E-03     334.052E-03    -38.3596E-03
             323     999.885E-03     256.720E-03     13.9863E-03
             324         1.00026     313.111E-03    -31.2893E-03
             325     999.813E-03     241.119E-03    -20.9577E-03
             326         1.00022     314.685E-03    -20.5932E-03
             327     999.220E-03     355.960E-03    -34.1943E-03
             328     999.900E-03     277.779E-03     4.74759E-03
             329         1.00010     165.137E-03     9.27214E-03
             330     999.787E-03     360.870E-03     26.2720E-03
             331         1.00002     261.947E-03    -12.1205E-03
             332         1.00003     249.507E-03     15.3179E-03
             333         1.00011     355.815E-03     32.3260E-03
             334         1.00022     158.438E-03    -5.42196E-03
             335         1.00008     364.482E-03     5.25088E-03
             336         1.00001     362.259E-03    -9.10312E-03
             337     999.853E-03     229.297E-03     19.4510E-03
             338         1.00019     342.061E-03    -44.2863E-03
             339     999.769E-03     203.582E-03     16.9675E-03
             340     999.869E-03     311.322E-03     19.1687E-03
             341     999.992E-03     190.857E-03    -22.4892E-03
             342     999.439E-03     323.681E-03    -31.4066E-03
             343     999.903E-03     244.368E-03    -18.5125E-03
             344         1.00004     167.629E-03    -11.1057E-03
             345         1.00049     259.702E-03    -40.2829E-03
             346         1.00006     186.284E-03    -3.73359E-03
